subj_idx,rhythm,response,stim,rt,change_number
16,0,0,0,0.227603700011969,0
16,1,0,1,0.272175700054504,2
16,0,1,1,0.473008700064383,4
16,0,1,1,0.306439300067723,4
16,1,0,1,0.427641100017354,4
16,1,1,1,0.500480599934235,4
16,1,0,0,0.900197600014508,0
16,1,0,0,1.81689379992895,0
16,0,1,0,0.314914499991573,0
16,0,1,1,0.276085800025612,2
16,0,0,0,1.5121410000138,0
16,0,1,1,0.480375500046648,4
16,0,1,1,0.41110650007613,2
16,0,0,0,0.266497200005688,0
16,0,1,0,0.497014199965633,0
16,1,1,0,0.336584100034088,0
16,0,1,1,0.409609099966474,2
16,0,0,1,0.519938400015235,2
16,1,0,1,0.793187199975364,2
16,0,0,1,0.949714399990626,2
16,0,0,1,0.237112800008617,4
16,1,1,1,0.316122599993832,2
16,1,1,1,0.450769999995828,4
16,1,1,1,0.278374599991366,4
16,1,0,1,0.973409100086428,4
16,1,1,1,0.303721299977042,2
16,0,0,1,0.608824200113304,4
16,1,0,0,0.535119600011967,0
16,0,0,0,0.283046500058845,0
16,0,1,1,1.02525149995927,4
16,0,0,0,0.273002800066024,0
16,1,1,1,0.296207900042646,4
16,0,0,0,0.36603389994707,0
16,0,1,1,0.279160500038415,4
16,1,1,0,0.45144769991748,0
16,0,1,1,1.92724230000749,2
16,1,0,0,0.215973700047471,0
16,1,1,0,0.347952200099826,0
16,0,0,0,0.332156200078316,0
16,1,0,0,0.62128570000641,0
16,0,1,1,1.14369890000671,4
16,1,0,0,0.375478100031614,0
16,0,1,1,0.375948500004597,4
16,1,1,1,0.22169529995881,4
16,0,1,1,0.256959200021811,2
16,0,1,1,0.274572700029239,4
16,1,1,1,0.337434499990195,4
16,1,1,1,0.656824599951506,4
16,0,1,1,0.837063200073317,4
16,0,0,1,1.67112740001176,2
16,1,1,0,0.87413590005599,0
16,0,1,1,0.707160799996927,2
16,0,1,1,0.240284499945119,2
16,1,0,0,0.443375100032426,0
16,1,0,0,0.675185699947178,0
16,0,0,0,0.344123500050046,0
16,0,1,1,0.55944310000632,2
16,1,0,0,0.354285200010054,0
16,1,1,0,0.915361499995925,0
16,0,0,0,0.952217799960636,0
16,1,1,1,0.623438099981286,2
16,0,1,1,0.326087499968708,2
16,0,0,0,1.05985349998809,0
16,1,1,1,0.339586699963547,4
16,1,0,0,0.63111029996071,0
16,1,1,1,0.529741500038654,4
16,0,1,1,0.630907300044782,2
16,1,1,1,0.490858500008471,2
16,0,0,0,0.939415699918754,0
16,0,0,1,1.88623800000641,2
17,1,0,0,0.725753600010648,0
17,1,1,1,0.580966499983333,2
17,0,1,1,0.502370300004259,2
17,0,1,1,1.03872670000419,2
17,0,1,1,1.0549006999936,2
17,1,1,1,0.643250799970701,2
17,0,1,0,1.08651910000481,0
17,1,1,1,0.881258700042963,2
17,1,1,1,2.57491570001002,4
17,1,0,1,1.7412534999894,2
17,0,1,0,1.21803620003629,0
17,0,1,1,3.17517849989235,4
17,1,1,0,1.58257219998632,0
17,1,0,0,2.89731369994115,0
17,0,0,1,2.18089620000683,4
17,1,1,1,1.41974849998951,2
17,0,1,1,2.48386679997202,4
17,0,1,1,1.20662049995735,2
17,0,0,0,3.05935350002255,0
17,1,1,1,0.946891799918376,2
17,1,0,1,4.12090660003014,4
17,0,0,1,1.6095886999974,4
17,0,1,0,0.612174400012009,0
17,0,1,1,0.613752000033855,2
17,0,1,1,0.789634500048123,4
17,1,0,0,1.02520959998947,0
17,1,0,1,1.03174480004236,4
17,1,1,0,1.49684119992889,0
17,0,1,1,3.38063780008815,4
17,0,1,1,1.1543502000859,4
17,0,1,1,3.35922689992003,4
17,1,1,1,0.982330200029537,4
17,1,1,1,1.86343689996284,2
17,0,1,1,2.1643872000277,2
17,1,1,0,1.49372160003986,0
17,1,1,1,1.12769999995362,4
17,0,1,0,1.09549400000833,0
17,1,1,1,2.85410330002196,2
17,1,1,0,1.22676150000188,0
17,1,1,1,1.50269430002663,2
17,1,1,1,1.33955549995881,2
17,0,1,1,1.10921090003103,4
17,1,0,1,1.47745730006136,4
17,0,1,1,1.52754719997756,4
17,1,1,1,0.804264300037175,4
17,1,1,1,0.923504000063986,2
17,0,0,1,1.47564459999558,4
17,0,0,0,5.71043229999486,0
17,0,1,1,2.89994989999104,2
17,1,0,1,0.681356500019319,4
17,0,1,1,1.61354369996116,2
17,1,1,1,0.92008710000664,2
17,0,1,1,1.12707119993865,4
17,0,1,1,1.40703470003791,2
17,0,1,1,1.60983010008931,2
17,1,1,1,2.22723419999238,4
17,0,1,1,0.454738400061615,2
17,1,0,0,0.94064879999496,0
17,0,1,1,0.690630400087684,2
17,0,0,1,2.41659020003863,2
17,1,1,1,0.360978899989277,2
